                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2708,                 2.8552,                0.90827,                 0.8787,                0.44792,                0.47369,                0.35569,                 1.0948,                 1.0484,                0.81753,               0.070082,              0.0033242,              0.0033242
                      1,                 1.1392,                 1.2141,                0.86397,                0.89163,                0.93908,                  0.995,                0.68802,                 1.0003,                0.78024,                0.81438,               0.039752,               0.006328,               0.006328
                      2,                 1.2735,                 1.1612,                0.88603,                0.94458,                0.88007,                  0.995,                0.68259,                 1.1388,                0.72729,                0.82279,              0.0090929,              0.0090018,              0.0090018
                      3,                 1.2395,                 1.0674,                0.89051,                0.89786,                0.99605,                0.98806,                0.67567,                 1.1546,                0.68933,                0.83835,               0.008515,               0.008515,               0.008515
                      4,                 1.2415,                0.91527,                 0.8806,                0.94654,                      1,                  0.995,                0.75701,                 0.8728,                0.52296,                 0.8066,               0.008515,               0.008515,               0.008515
                      5,                  1.199,                 0.8842,                0.88918,                0.96951,                0.99996,                  0.995,                0.68972,                0.92971,                 0.5741,                0.81214,                0.00802,                0.00802,                0.00802
                      6,                 1.1182,                 0.7748,                0.87186,                0.92821,                0.99609,                  0.995,                0.79601,                0.85671,                0.52576,                  0.807,               0.007525,               0.007525,               0.007525
                      7,                 1.1151,                0.77384,                0.85722,                0.95902,                0.99482,                  0.995,                0.77667,                0.99129,                 0.5137,                0.81265,                0.00703,                0.00703,                0.00703
                      8,                 1.0371,                0.70569,                0.84454,                0.94535,                0.95234,                  0.995,                0.74497,                 1.0196,                0.61182,                0.81167,               0.006535,               0.006535,               0.006535
                      9,                 1.0132,                0.65027,                0.85754,                0.95491,                0.97348,                  0.995,                0.79192,                0.97569,                0.45556,                0.80268,                0.00604,                0.00604,                0.00604
                     10,                 1.0375,                0.69261,                0.85219,                0.94976,                      1,                  0.995,                0.80693,                0.81251,                0.42441,                0.79392,               0.005545,               0.005545,               0.005545
                     11,                 1.0273,                0.71492,                0.85693,                0.95698,                0.96847,                  0.995,                0.75677,                0.98251,                0.53449,                0.80593,                0.00505,                0.00505,                0.00505
                     12,                 1.0481,                0.75115,                0.85538,                0.93459,                      1,                  0.995,                0.75992,                0.95083,                0.53943,                0.80378,               0.004555,               0.004555,               0.004555
                     13,                 1.0009,                0.69273,                0.84756,                  0.936,                0.97661,                  0.995,                0.81587,                0.74898,                0.43341,                0.78118,                0.00406,                0.00406,                0.00406
                     14,                0.93663,                0.65201,                0.83126,                0.95216,                      1,                  0.995,                0.72934,                0.94685,                0.47834,                0.80248,               0.003565,               0.003565,               0.003565
                     15,                0.88833,                0.59814,                0.82772,                0.96838,                      1,                  0.995,                0.79562,                 0.9072,                0.44319,                0.79132,                0.00307,                0.00307,                0.00307
                     16,                0.85816,                0.56237,                0.81744,                0.95915,                0.99207,                  0.995,                0.78516,                  1.009,                  0.487,                0.80058,               0.002575,               0.002575,               0.002575
                     17,                0.85081,                0.56387,                0.81766,                  0.959,                0.98811,                  0.995,                0.77389,                0.98742,                0.46092,                 0.7975,                0.00208,                0.00208,                0.00208
                     18,                0.82853,                0.53344,                0.81697,                0.97163,                0.98157,                  0.995,                 0.7501,                0.99607,                0.50514,                0.79617,               0.001585,               0.001585,               0.001585
                     19,                0.80622,                0.51895,                0.81253,                0.96828,                0.94137,                  0.995,                0.79878,                 0.8364,                0.45353,                0.78015,                0.00109,                0.00109,                0.00109
